[JKC] Junkcoin - Superblock list

BLOCK, REWARD
106, 150
252, 150
475, 150
481, 150
536, 150
742, 150
886, 150
954, 150
1031, 150
1046, 150
1146, 150
1297, 150
1394, 150
1446, 150
1517, 150
1675, 150
1815, 150
1848, 150
1893, 150
1984, 150
1985, 150
2022, 150
2043, 150
2087, 150
2168, 150
2174, 150
2207, 150
2587, 150
2596, 150
2680, 150
2713, 150
2729, 150
2783, 150
2795, 150
2869, 150
2927, 150
2996, 150
3031, 150
3124, 150
3148, 150
3293, 150
3390, 150
3473, 150
3542, 150
3631, 150
3661, 150
3951, 150
4007, 150
4085, 150
4178, 150
4258, 150
4325, 150
4546, 150
4747, 150
4754, 150
4801, 150
4808, 150
4826, 150
4828, 150
4884, 150
5050, 150
5064, 150
5133, 150
5279, 150
5333, 150
5733, 150
5773, 150
5808, 150
5846, 150
5860, 150
5902, 150
6026, 150
6097, 150
6144, 150
6389, 150
6544, 150
6590, 150
6680, 150
6763, 150
6788, 150
6834, 150
6898, 150
7309, 150
7316, 150
7397, 150
7467, 150
7539, 150
7866, 150
7970, 150
8145, 150
8365, 150
8897, 150
9046, 150
9255, 150
9304, 150
9348, 150
9415, 150
9509, 150
9736, 150
9741, 150
9769, 150
9813, 150
9960, 150
9964, 150
10017, 150
10180, 150
10275, 150
10290, 150
10348, 150
10544, 150
10580, 150
10699, 150
10810, 150
10928, 150
11009, 150
11063, 150
11071, 150
11190, 150
11293, 150
11294, 150
11628, 150
11854, 150
11968, 150
11992, 150
12234, 150
12325, 150
12470, 150
12734, 150
12934, 150
12942, 150
12954, 150
12974, 150
13130, 150
13144, 150
13427, 150
13517, 150
13738, 150
13905, 150
13911, 150
14139, 150
14218, 150
14327, 150
14342, 150
14367, 150
14380, 150
14524, 150
14552, 150
14598, 150
14621, 150
14731, 150
14855, 150
15022, 150
15047, 150
15106, 150
15163, 150
15313, 150
15451, 150
15562, 150
15610, 150
15883, 150
15983, 150
16028, 150
16040, 150
16069, 150
16139, 150
16219, 150
16421, 150
16449, 150
16494, 150
16508, 150
16630, 150
17014, 150
17028, 150
17031, 150
17082, 150
17165, 150
17173, 150
17179, 150
17295, 150
17343, 150
17374, 150
17382, 150
18105, 150
18117, 150
18320, 150
18345, 150
18350, 150
18557, 150
18650, 150
18756, 150
18862, 150
18955, 150
18985, 1000
19357, 150
19705, 150
19722, 150
19738, 150
19741, 150
19897, 150
20144, 150
20479, 150
20526, 150
20648, 150
20745, 150
20891, 150
20896, 150
21159, 1000
21282, 150
21389, 150
21548, 150
21629, 150
21762, 150
22021, 150
22040, 150
22127, 150
22184, 150
22241, 150
22440, 150
22454, 150
22508, 150
22524, 150
22730, 150
22776, 150
22865, 150
23185, 150
23424, 150
23653, 150
23691, 150
23694, 150
23717, 150
23972, 150
24000, 150
24099, 150
24191, 150
24203, 150
24398, 150
24565, 150
24643, 150
24644, 150
24710, 150
24773, 150
24811, 150
24863, 150
24951, 150
24982, 150
25032, 150
25163, 150
25230, 150
25297, 150
25346, 150
25412, 150
25435, 150
25491, 150
25511, 150
25613, 150
25951, 150
25962, 150
25968, 150
25974, 150
25990, 150
26270, 150
26302, 150
26357, 150
26489, 150
26615, 150
26624, 150
26986, 1000
27040, 150
27066, 150
27409, 150
27458, 150
27677, 150
27910, 150
27963, 150
28008, 150
28068, 150
28166, 150
28325, 150
28436, 150
28546, 150
28639, 150
28729, 150
28940, 150
29014, 150
29240, 150
29335, 150
29371, 150
29509, 150
29620, 150
29711, 150
29748, 150
30024, 150
30042, 150
30061, 150
30184, 150
30256, 150
30274, 150
30532, 150
30533, 150
30578, 150
30584, 150
30823, 150
30908, 150
30914, 150
30928, 150
30981, 150
31048, 150
31063, 150
31090, 150
31219, 150
31392, 150
31527, 150
31530, 150
31585, 150
31590, 150
31859, 150
31980, 150
32135, 150
32204, 150
32260, 150
32340, 150
32417, 150
32465, 150
32588, 150
32653, 150
32754, 150
32839, 150
33038, 150
33078, 150
33088, 150
33181, 150
33481, 150
33665, 150
33762, 150
33780, 150
33817, 150
34084, 150
34120, 150
34228, 150
34309, 150
34316, 150
34406, 150
34597, 150
34632, 150
34669, 150
34924, 150
35068, 150
35078, 150
35231, 150
35342, 150
35403, 150
35533, 150
35613, 150
35690, 150
35767, 150
35785, 150
35826, 150
35875, 150
35884, 150
35895, 150
35908, 150
35969, 150
35985, 150
36016, 150
36275, 150
36299, 150
36315, 150
36341, 150
36365, 150
36396, 150
36409, 150
36488, 150
36597, 150
36616, 150
36755, 150
36831, 150
36860, 150
36878, 150
36950, 150
37050, 150
37310, 150
37443, 150
37655, 150
37708, 150
37727, 150
37730, 150
37762, 150
37875, 150
38049, 150
38060, 150
38061, 150
38077, 150
38090, 150
38095, 150
38140, 150
38300, 150
38494, 150
38562, 150
38579, 150
38670, 150
38944, 150
39049, 150
39157, 150
39196, 150
39230, 150
39330, 150
39387, 150
39464, 150
39470, 150
39509, 150
39754, 150
39796, 150
39873, 150
40200, 150
40332, 150
40388, 150
40403, 150
40684, 150
40703, 150
40858, 150
40895, 150
41115, 150
41272, 150
41633, 150
41731, 150
41781, 150
41838, 150
41906, 150
41998, 150
42095, 150
42211, 150
42478, 150
42538, 150
42580, 150
42608, 150
42668, 150
42698, 150
42721, 150
42737, 150
42787, 150
42804, 150
43104, 150
43523, 150
43557, 150
43771, 150
43939, 150
43943, 150
43947, 150
44063, 150
44079, 150
44153, 150
44339, 150
44542, 150
44582, 150
44667, 150
44785, 150
44869, 150
44896, 150
44939, 150
45021, 150
45022, 150
45033, 150
45099, 150
45168, 150
45472, 150
45494, 150
45547, 150
45695, 150
45903, 150
46106, 150
46315, 150
46321, 150
46466, 150
46568, 150
46739, 150
46865, 150
46962, 150
47099, 150
47125, 150
47245, 150
47267, 150
47365, 150
47468, 150
47558, 150
47638, 150
47774, 150
47781, 150
47923, 150
48025, 150
48071, 150
48219, 150
48314, 150
48521, 150
48806, 150
48854, 150
49068, 150
49093, 150
49114, 150
49333, 150
49392, 150
49530, 150
49535, 150
49538, 150
49556, 150
49559, 150
49578, 150
49725, 150
49728, 150
49780, 150
49869, 150
50450, 150
50486, 150
50616, 150
50748, 150
50839, 150
50841, 150
50866, 150
50895, 150
50932, 150
50977, 150
50990, 150
51122, 150
51180, 150
51258, 150
51482, 150
51517, 150
51709, 150
51730, 150
51736, 1000
51859, 150
51952, 150
52007, 150
52048, 150
52055, 150
52184, 150
52332, 150
52475, 150
52489, 150
52755, 150
52872, 150
53237, 150
53288, 150
53317, 150
53365, 150
53466, 150
53614, 150
53636, 150
53732, 150
54312, 150
54386, 150
54433, 150
54765, 150
54983, 150
55131, 150
55255, 150
55282, 150
55323, 150
55630, 150
55859, 150
56126, 150
56337, 150
56550, 150
56613, 150
56763, 150
56825, 150
56866, 150
56981, 150
57017, 150
57063, 150
57099, 150
57104, 150
57166, 150
57256, 150
57307, 150
57373, 150
57514, 150
57590, 150
57815, 150
57855, 150
57893, 150
57993, 150
58150, 150
58231, 150
58269, 150
58437, 150
58640, 150
58883, 150
58885, 150
58970, 150
59085, 150
59153, 150
59445, 150
59543, 150
59557, 150
59629, 150
59637, 150
59792, 150
59830, 150
59899, 150
59998, 150
60156, 150
60170, 150
60174, 150
60359, 150
60360, 150
60362, 150
60365, 150
60417, 150
61023, 150
61070, 150
61076, 150
61081, 150
61094, 150
61225, 150
61228, 150
61251, 150
61256, 150
61388, 150
61594, 150
61694, 150
61726, 150
61848, 150
61866, 150
61891, 150
61930, 150
62015, 150
62139, 150
62165, 150
62284, 150
62368, 150
62482, 150
62662, 150
62798, 150
62811, 150
62867, 150
62983, 150
63030, 150
63105, 150
63143, 150
63182, 150
63266, 150
63309, 150
63371, 150
63634, 150
63768, 150
63872, 150
64045, 150
64141, 150
64293, 150
64362, 150
64525, 150
64600, 150
64810, 150
64865, 150
64933, 150
64949, 150
65317, 150
65400, 150
65524, 150
65632, 150
65717, 150
65819, 150
65835, 150
65995, 150
66102, 150
66163, 150
66274, 150
66294, 150
66500, 150
66865, 150
67010, 150
67033, 150
67064, 150
67189, 150
67202, 150
67334, 150
67448, 150
67451, 150
67531, 150
67608, 150
67609, 150
67615, 150
67623, 150
67785, 150
67807, 150
67834, 150
68010, 150
68207, 150
68391, 150
68552, 150
68557, 150
68896, 150
69020, 150
69063, 150
69073, 150
69085, 150
69130, 150
69195, 150
69304, 150
69453, 150
69550, 150
69681, 150
69684, 150
69880, 150
70039, 150
70064, 150
70216, 150
70286, 150
70763, 150
71216, 150
71243, 150
71350, 150
71443, 150
71571, 150
71656, 150
71760, 150
71890, 150
72229, 150
72262, 150
72541, 150
72585, 150
72648, 150
72756, 150
72826, 150
72925, 150
72985, 150
73124, 150
73175, 150
73280, 150
73370, 150
73389, 150
73530, 150
73608, 150
73613, 150
73650, 150
73798, 150
73860, 150
73886, 150
73895, 150
74007, 1000
74040, 150
74052, 150
74149, 150
74171, 150
74305, 150
74325, 150
74400, 150
74409, 150
74571, 150
74666, 150
74693, 150
74798, 150
75014, 150
75068, 150
75136, 150
75308, 150
75328, 150
75331, 150
75433, 150
75524, 150
75642, 150
75709, 150
75850, 150
76032, 150
76058, 150
76139, 150
76237, 150
76274, 150
76435, 150
76730, 150
77041, 150
77112, 150
77166, 150
77251, 150
77355, 150
77375, 150
77420, 150
77585, 150
77608, 150
78130, 150
78274, 150
78290, 150
78361, 150
78417, 150
78475, 150
78510, 150
78579, 150
78641, 150
78949, 150
78986, 150
79466, 1000
79478, 150
79517, 150
79525, 150
79621, 150
79643, 150
79741, 150
79882, 150
79954, 150
80030, 150
80167, 150
80362, 150
80514, 150
80561, 150
80754, 150
80790, 150
80898, 150
81632, 150
81633, 150
81692, 150
81850, 150
81859, 150
81915, 150
81976, 150
81993, 150
82011, 150
82119, 150
82448, 150
82560, 150
82654, 150
82727, 150
82793, 150
82910, 150
82961, 150
83001, 150
83050, 150
83052, 150
83054, 150
83056, 150
83185, 150
83228, 150
83671, 150
83747, 150
83889, 150
84416, 150
84474, 150
84658, 150
84678, 150
84737, 150
84833, 150
84894, 150
85123, 150
85146, 150
85238, 150
85395, 150
85445, 150
85470, 150
85503, 150
85697, 150
85766, 150
85798, 150
85891, 150
86113, 150
86128, 150
86149, 150
86280, 150
86290, 150
86456, 150
86484, 150
86593, 150
86613, 150
86639, 150
86763, 150
86924, 150
86933, 150
86945, 150
87222, 150
87655, 150
87690, 150
87790, 150
87794, 1000
87893, 150
87962, 150
88089, 150
88250, 150
88260, 150
88276, 150
88298, 150
88305, 150
88418, 150
88567, 150
88796, 150
88876, 150
88914, 150
88967, 150
89099, 150
89112, 150
89206, 150
89230, 150
89270, 150
89384, 150
89397, 150
89419, 150
89444, 150
89663, 150
89807, 150
89900, 150
89904, 150
89963, 150
90131, 150
90214, 150
90316, 150
90622, 150
90691, 150
91041, 150
91228, 150
91402, 150
91460, 1000
91465, 150
91477, 150
91502, 150
91522, 150
91753, 150
91916, 150
92352, 150
92431, 150
92452, 150
92582, 150
92685, 150
92764, 150
92836, 150
92878, 150
92897, 150
92935, 150
92982, 150
93023, 150
93190, 150
93259, 150
93293, 150
93385, 150
93411, 150
93508, 150
93551, 150
93578, 150
93861, 150
94558, 150
94646, 150
94767, 150
94871, 150
94942, 150
94973, 150
95204, 150
95300, 150
95349, 150
95404, 150
95409, 150
95594, 150
95599, 150
95676, 150
95761, 150
95782, 150
95785, 150
95878, 150
95888, 150
95933, 150
95956, 150
96182, 150
96252, 150
96371, 150
96991, 150
97096, 150
97933, 150
97963, 150
97998, 150
98014, 150
98180, 150
98206, 150
98235, 150
98382, 150
98569, 150
98638, 150
98808, 150
98939, 150
98966, 150
98983, 150
99081, 150
99088, 150
99160, 150
99164, 150
99237, 150
99305, 150
99319, 150
99389, 150
99397, 150
99470, 150
99486, 150
99641, 150
99677, 150
99821, 150
99912, 150
99921, 150
99924, 150
99933, 150
