[SXC] Sexcoin - Superblock list

BLOCK, REWARD
9, 500
48, 500
106, 500
219, 500
252, 500
351, 500
362, 500
417, 500
475, 500
481, 500
507, 500
518, 500
536, 500
626, 500
708, 500
728, 500
742, 500
752, 500
767, 500
886, 500
902, 500
954, 500
958, 500
1031, 500
1035, 500
1046, 500
1146, 500
1160, 500
1293, 500
1297, 500
1360, 500
1394, 500
1446, 500
1455, 500
1517, 500
1590, 500
1643, 500
1675, 500
1751, 500
1778, 500
1815, 500
1848, 500
1893, 500
1957, 500
1984, 500
1985, 500
2022, 500
2043, 500
2087, 500
2151, 500
2168, 500
2174, 500
2207, 500
2211, 500
2218, 500
2260, 500
2376, 500
2455, 500
2460, 500
2479, 500
2587, 500
2596, 500
2655, 500
2678, 500
2680, 500
2713, 500
2729, 500
2763, 500
2783, 500
2795, 500
2869, 500
2927, 500
2996, 500
3031, 500
3124, 500
3147, 500
3148, 500
3235, 500
3293, 500
3296, 500
3390, 500
3408, 500
3472, 500
3473, 500
3542, 500
3631, 500
3661, 500
3675, 500
3715, 500
3719, 500
3731, 500
3820, 500
3951, 500
4007, 500
4070, 500
4085, 500
4178, 500
4258, 500
4325, 500
4344, 500
4350, 500
4487, 500
4546, 500
4693, 500
4747, 500
4754, 500
4801, 500
4808, 500
4810, 500
4826, 500
4828, 500
4884, 500
4894, 500
4898, 500
4956, 500
4970, 500
4973, 500
4975, 500
5050, 500
5064, 500
5133, 500
5143, 500
5279, 500
5333, 500
5448, 500
5733, 500
5773, 500
5792, 500
5808, 500
5846, 500
5860, 500
5879, 500
5896, 500
5902, 500
6018, 500
6026, 500
6097, 500
6109, 500
6144, 500
6167, 500
6245, 500
6310, 500
6379, 500
6389, 500
6516, 500
6543, 500
6544, 500
6554, 500
6590, 500
6680, 500
6763, 500
6788, 500
6834, 500
6835, 500
6860, 500
6878, 500
6893, 500
6898, 500
6912, 500
7061, 500
7108, 500
7119, 500
7142, 500
7192, 500
7309, 500
7316, 500
7397, 500
7467, 500
7507, 500
7539, 500
7568, 500
7690, 500
7772, 500
7786, 500
7803, 500
7828, 500
7866, 500
7970, 500
8145, 500
8253, 500
8267, 500
8281, 500
8292, 500
8313, 500
8343, 500
8365, 500
8518, 500
8606, 500
8733, 500
8759, 500
8768, 500
8791, 500
8836, 500
8897, 500
8925, 500
8951, 500
9046, 500
9068, 500
9118, 500
9174, 500
9176, 500
9255, 500
9304, 500
9329, 500
9348, 500
9367, 500
9388, 500
9415, 500
9509, 500
9691, 500
9736, 500
9741, 500
9769, 500
9813, 500
9821, 500
9845, 500
9847, 500
9960, 500
9964, 500
9966, 500
10017, 500
10122, 500
10129, 500
10180, 500
10275, 500
10290, 500
10348, 500
10407, 500
10423, 500
10535, 500
10544, 500
10580, 500
10656, 500
10699, 500
10804, 500
10810, 500
10928, 500
11009, 500
11063, 500
11071, 500
11075, 500
11092, 500
11151, 500
11190, 500
11284, 500
11293, 500
11294, 500
11303, 500
11419, 500
11628, 500
11651, 500
11669, 500
11854, 500
11945, 500
11962, 500
11968, 500
11992, 500
12040, 500
12123, 500
12218, 500
12234, 500
12236, 500
12325, 500
12470, 500
12511, 500
12539, 500
12734, 500
12757, 500
12784, 500
12934, 500
12942, 500
12954, 500
12974, 500
13002, 500
13007, 500
13073, 500
13130, 500
13144, 500
13219, 500
13297, 500
13427, 500
13517, 500
13733, 500
13738, 500
13905, 500
13911, 500
14034, 500
14079, 500
14139, 500
14218, 500
14296, 500
14327, 500
14342, 500
14367, 500
14380, 500
14524, 500
14552, 500
14568, 500
14598, 500
14608, 500
14621, 500
14652, 500
14731, 500
14758, 500
14855, 500
14860, 500
14912, 500
15022, 500
15047, 500
15106, 500
15163, 500
15190, 500
15278, 500
15313, 500
15351, 500
15451, 500
15484, 500
15562, 500
15610, 500
15674, 500
15883, 500
15983, 500
16028, 500
16040, 500
16069, 500
16139, 500
16219, 500
16241, 500
16308, 500
16421, 500
16449, 500
16494, 500
16508, 500
16630, 500
16681, 500
16766, 500
16832, 500
16893, 500
16930, 500
17014, 500
17028, 500
17031, 500
17082, 500
17120, 500
17163, 500
17165, 500
17173, 500
17179, 500
17216, 500
17255, 500
17278, 500
17295, 500
17316, 500
17343, 500
17374, 500
17382, 500
17655, 500
17733, 500
17902, 500
17978, 500
18020, 500
18105, 500
18117, 500
18141, 500
18301, 500
18320, 500
18331, 500
18345, 500
18350, 500
18391, 500
18407, 500
18451, 500
18557, 500
18650, 500
18703, 500
18756, 500
18793, 500
18862, 500
18955, 500
18985, 5000
18992, 500
19041, 500
19160, 500
19219, 500
19357, 500
19427, 500
19501, 500
19552, 500
19656, 500
19705, 500
19722, 500
19738, 500
19741, 500
19822, 500
19852, 500
19897, 500
19933, 500
20058, 500
20113, 500
20144, 500
20182, 500
20197, 500
20214, 500
20267, 500
20327, 500
20397, 500
20457, 500
20479, 500
20526, 500
20643, 500
20648, 500
20686, 500
20745, 500
20779, 500
20794, 500
20799, 500
20853, 500
20891, 500
20896, 500
20982, 500
20984, 500
21015, 500
21048, 500
21159, 5000
21282, 500
21299, 500
21346, 500
21389, 500
21434, 500
21548, 500
21563, 500
21629, 500
21653, 500
21662, 500
21690, 500
21715, 500
21726, 500
21762, 500
21945, 500
21949, 500
22021, 500
22040, 500
22127, 500
22184, 500
22241, 500
22348, 500
22375, 500
22388, 500
22440, 500
22454, 500
22481, 500
22508, 500
22524, 500
22692, 500
22730, 500
22776, 500
22865, 500
23040, 500
23057, 500
23185, 500
23391, 500
23424, 500
23475, 500
23615, 500
23653, 500
23658, 500
23691, 500
23694, 500
23717, 500
23799, 500
23925, 500
23972, 500
24000, 500
24099, 500
24191, 500
24203, 500
24395, 500
24398, 500
24443, 500
24565, 500
24570, 500
24625, 500
24643, 500
24644, 500
24654, 500
24710, 500
24773, 500
24811, 500
24863, 500
24874, 500
24903, 500
24951, 500
24982, 500
25032, 500
25163, 500
25230, 500
25284, 500
25297, 500
25337, 500
25344, 500
25346, 500
25412, 500
25435, 500
25491, 500
25511, 500
25613, 500
25666, 500
25713, 500
25900, 500
25951, 500
25962, 500
25963, 500
25968, 500
25974, 500
25987, 500
25990, 500
26105, 500
26124, 500
26195, 500
26223, 500
26270, 500
26301, 500
26302, 500
26357, 500
26489, 500
26615, 500
26624, 500
26650, 500
26714, 500
26869, 500
26947, 500
26986, 5000
27013, 500
27040, 500
27066, 500
27085, 500
27117, 500
27156, 500
27210, 500
27224, 500
27409, 500
27458, 500
27463, 500
27470, 500
27477, 500
27478, 500
27583, 500
27657, 500
27677, 500
27810, 500
27828, 500
27910, 500
27930, 500
27963, 500
28008, 500
28024, 500
28068, 500
28084, 500
28101, 500
28130, 500
28166, 500
28217, 500
28228, 500
28276, 500
28297, 500
28325, 500
28381, 500
28436, 500
28463, 500
28529, 500
28546, 500
28574, 500
28639, 500
28640, 500
28695, 500
28729, 500
28919, 500
28940, 500
29014, 500
29130, 500
29134, 500
29227, 500
29240, 500
29292, 500
29308, 500
29319, 500
29335, 500
29371, 500
29394, 500
29451, 500
29509, 500
29620, 500
29711, 500
29748, 500
29823, 500
29922, 500
29931, 500
30024, 500
30042, 500
30061, 500
30104, 500
30106, 500
30184, 500
30185, 500
30256, 500
30274, 500
30532, 500
30533, 500
30555, 500
30578, 500
30584, 500
30823, 500
30850, 500
30899, 500
30906, 500
30908, 500
30914, 500
30923, 500
30928, 500
30969, 500
30981, 500
31007, 500
31018, 500
31048, 500
31063, 500
31090, 500
31219, 500
31241, 500
31392, 500
31464, 500
31527, 500
31530, 500
31585, 500
31590, 500
31692, 500
31693, 500
31749, 500
31859, 500
31923, 500
31960, 500
31980, 500
32007, 500
32135, 500
32204, 500
32215, 500
32260, 500
32340, 500
32417, 500
32465, 500
32486, 500
32497, 500
32500, 500
32566, 500
32588, 500
32653, 500
32754, 500
32787, 500
32839, 500
33038, 500
33078, 500
33088, 500
33131, 500
33181, 500
33192, 500
33245, 500
33270, 500
33481, 500
33502, 500
33531, 500
33533, 500
